,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
6121,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Westmeath,0
6122,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Wexford,0
6123,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Wicklow,0
6124,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Limerick,0
6125,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Waterford,0
6126,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Tipperary,0
6127,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Cork,0
6128,New Private Cars,2015,All engine capacities with respect to private cars (cc),Daihatsu,All bands,Dublin,0
6130,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Carlow,0
6131,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Cavan,0
6132,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Clare,0
6133,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Donegal,0
6134,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Galway,0
6135,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Kerry,0
6136,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Kildare,0
6137,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Kilkenny,0
6138,New Private Cars,2015,All engine capacities with respect to private cars (cc),Dodge,All bands,Laois,0
