,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
13308,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Tipperary,Number,10.0
13309,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Cork,Number,19.0
13310,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  F,Dublin,Number,222.0
13311,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,All licensing authorities,Number,46.0
13312,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Carlow,Number,0.0
13313,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Cavan,Number,0.0
13314,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Clare,Number,1.0
13315,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Donegal,Number,0.0
13316,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Galway,Number,1.0
13317,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Kerry,Number,0.0
13318,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Kildare,Number,4.0
13319,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Kilkenny,Number,0.0
13320,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Laois,Number,1.0
13321,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Leitrim,Number,0.0
13322,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Longford,Number,0.0
13323,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Louth,Number,0.0
13324,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Mayo,Number,2.0
13325,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Meath,Number,0.0
13326,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Monaghan,Number,0.0
13327,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Offaly,Number,0.0
13328,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Roscommon,Number,0.0
13329,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Sligo,Number,0.0
13330,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Westmeath,Number,1.0
13331,New Private Cars,2016,All engine capacities with respect to private cars (cc),All makes,Band  G,Wexford,Number,3.0
